药品名称	通用名	申请号	提交类型	状态	审批日期	链接
Unknown	Unknown	ANDA218673	SUPPL	AP	2026-08-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA218673
COLISTIMETHATE	COLISTIMETHATE SODIUM	ANDA065364	SUPPL	AP	2026-08-19	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA065364
ADEMPAS	RIOCIGUAT	NDA204819	SUPPL	AP	2026-08-04	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA204819
METFORMIN HYDROCHLORIDE	METFORMIN HYDROCHLORIDE	ANDA090564	SUPPL	AP	2026-08-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA090564
METFORMIN HCL	METFORMIN HCL	ANDA090888	SUPPL	AP	2026-08-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA090888
BUPRENORPHINE AND NALOXONE	BUPRENORPHINE AND NALOXONE	ANDA203326	SUPPL	AP	2026-08-14	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA203326
DILTIAZEM HYDROCHLORIDE	DILTIAZEM HYDROCHLORIDE	ANDA205231	SUPPL	AP	2026-08-12	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA205231
DILTIAZEM HYDROCHLORIDE	DILTIAZEM HYDROCHLORIDE	ANDA205231	SUPPL	AP	2026-08-12	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA205231
FENOFIBRATE	FENOFIBRATE	ANDA204475	SUPPL	AP	2026-08-05	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA204475
BUPRENORPHINE AND NALOXONE	BUPRENORPHINE AND NALOXONE	ANDA211785	SUPPL	AP	2026-08-14	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA211785
LEQVIO	INCLISIRAN	NDA214012	SUPPL	AP	2026-08-19	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA214012
Unknown	Unknown	ANDA076863	SUPPL	AP	2026-08-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076863
Unknown	Unknown	ANDA076863	SUPPL	AP	2026-08-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076863
Unknown	Unknown	ANDA076863	SUPPL	AP	2026-08-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076863
Unknown	Unknown	ANDA076864	SUPPL	AP	2026-08-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076864
DOXORUBICIN HYDROCHLORIDE	DOXORUBICIN HYDROCHLORIDE	ANDA219199	SUPPL	AP	2026-08-04	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA219199
REPAGLINIDE	REPAGLINIDE	ANDA207209	SUPPL	AP	2026-08-07	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA207209
LIDOCAINE HYDROCHLORIDE	LIDOCAINE HYDROCHLORIDE	ANDA204494	SUPPL	AP	2026-08-18	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA204494
BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE DIHYDRATE	BUPRENORPHINE HYDROCHLORIDE AND NALOXONE HYDROCHLORIDE DIHYDRATE	ANDA209069	SUPPL	AP	2026-08-14	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA209069
Unknown	Unknown	ANDA076869	SUPPL	AP	2026-08-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076869
WINREVAIR	SOTATERCEPT-CSRK	BLA761363	SUPPL	AP	2026-08-12	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=BLA761363
CYTARABINE	CYTARABINE	ANDA072945	SUPPL	AP	2026-08-03	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA072945
FENOFIBRATE	FENOFIBRATE	ANDA211122	SUPPL	AP	2026-08-17	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA211122
JANUMET XR	SITAGLIPTIN AND METFORMIN HYDROCHLORIDE	NDA202270	SUPPL	AP	2026-08-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA202270
NEXPLANON	ETONOGESTREL	NDA021529	SUPPL	AP	2026-08-17	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA021529
Unknown	Unknown	ANDA213602	ORIG	TA	2026-08-07	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA213602
Unknown	Unknown	ANDA076873	SUPPL	AP	2026-08-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076873
SCOPOLAMINE	SCOPOLAMINE	ANDA203753	SUPPL	AP	2026-08-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA203753
SCOPOLAMINE	SCOPOLAMINE	ANDA203753	SUPPL	AP	2026-08-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA203753
Unknown	Unknown	ANDA076878	SUPPL	AP	2026-08-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA076878
HEPZATO KIT	MELPHALAN HYDROCHLORIDE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION	NDA201848	SUPPL	AP	2026-08-12	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA201848
Unknown	Unknown	ANDA211135	SUPPL	AP	2026-08-04	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA211135
Unknown	Unknown	NDA220860	ORIG	AP	2026-08-05	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA220860
BUPRENORPHINE HYDROCHLORIDE	BUPRENORPHINE HYDROCHLORIDE	ANDA090279	SUPPL	AP	2026-08-14	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA090279
RAMIPRIL	RAMIPRIL	ANDA091604	SUPPL	AP	2026-08-19	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA091604
TYMLOS	ABALOPARATIDE	NDA208743	SUPPL	AP	2026-08-03	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA208743
Unknown	Unknown	ANDA201066	SUPPL	AP	2026-08-14	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA201066
