药品名称	通用名	申请号	提交类型	状态	审批日期	链接
Unknown	Unknown	ANDA071862	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA071862
LEVOCETIRIZINE DIHYDROCHLORIDE	LEVOCETIRIZINE DIHYDROCHLORIDE	ANDA202046	SUPPL	AP	2025-06-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA202046
LEVOCETIRIZINE DIHYDROCHLORIDE	LEVOCETIRIZINE DIHYDROCHLORIDE	ANDA202046	SUPPL	AP	2025-06-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA202046
LEVOCETIRIZINE DIHYDROCHLORIDE	LEVOCETIRIZINE DIHYDROCHLORIDE	ANDA202046	SUPPL	AP	2025-06-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA202046
CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE	CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE	ANDA211925	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA211925
CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE	CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE	ANDA211925	SUPPL	AP	2025-06-17	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA211925
FOSFOMYCIN TROMETHAMINE	FOSFOMYCIN TROMETHAMINE	ANDA217187	ORIG	AP	2025-06-03	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA217187
CELLCEPT	MYCOPHENOLATE MOFETIL	NDA050722	SUPPL	AP	2025-06-27	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA050722
ARGATROBAN	ARGATROBAN	ANDA214235	SUPPL	AP	2025-06-17	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA214235
Unknown	Unknown	NDA220634	ORIG	AP	2025-06-16	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA220634
POLYMYXIN B	POLYMYXIN B SULFATE	ANDA065372	SUPPL	AP	2025-06-27	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA065372
HAILEY FE 1/20	NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE	ANDA206597	SUPPL	AP	2025-06-17	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA206597
HAILEY FE 1/20	NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE	ANDA206597	SUPPL	AP	2025-06-17	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA206597
Unknown	Unknown	ANDA219632	ORIG	TA	2025-06-25	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA219632
TYBOST	COBICISTAT	NDA203094	SUPPL	AP	2025-06-20	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA203094
TYBOST	COBICISTAT	NDA203094	SUPPL	AP	2025-06-20	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA203094
