药品名称	通用名	申请号	提交类型	状态	审批日期	链接
Unknown	Unknown	ANDA219633	ORIG	AP	2025-06-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA219633
USTEKINUMAB-TTWE	USTEKINUMAB-TTWE	BLA761373	SUPPL	AP	2025-06-27	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=BLA761373
Unknown	Unknown	ANDA204571	SUPPL	AP	2025-06-30	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA204571
CLOZARIL	CLOZAPINE	NDA019758	SUPPL	AP	2025-06-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA019758
HYDROXYCHLOROQUINE	HYDROXYCHLOROQUINE	ANDA210543	SUPPL	AP	2025-06-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA210543
FENOFIBRIC ACID	FENOFIBRIC ACID	NDA022224	SUPPL	AP	2025-06-06	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA022224
AMITRIPTYLINE HYDROCHLORIDE	AMITRIPTYLINE HYDROCHLORIDE	ANDA214548	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA214548
AMITRIPTYLINE HYDROCHLORIDE	AMITRIPTYLINE HYDROCHLORIDE	ANDA214548	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA214548
METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE	METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE	ANDA090654	SUPPL	AP	2025-06-20	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA090654
Unknown	Unknown	ANDA202338	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA202338
COLUMVI	GLOFITAMAB	BLA761309	SUPPL	AP	2025-06-09	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=BLA761309
METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	ANDA088109	SUPPL	AP	2025-06-25	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA088109
PRUCALOPRIDE	PRUCALOPRIDE	ANDA218963	ORIG	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA218963
Unknown	Unknown	ANDA074949	SUPPL	AP	2025-06-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA074949
IBUPROFEN AND FAMOTIDINE	IBUPROFEN AND FAMOTIDINE	ANDA219538	ORIG	AP	2025-06-30	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA219538
Unknown	Unknown	ANDA206120	SUPPL	AP	2025-06-20	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA206120
MIRABEGRON	MIRABEGRON	ANDA217989	ORIG	AP	2025-06-30	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA217989
Unknown	Unknown	ANDA071079	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA071079
AMPHOTERICIN B LIPOSOME	AMPHOTERICIN B LIPOSOME	ANDA212967	ORIG	AP	2025-06-30	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA212967
FAMOTIDINE	FAMOTIDINE	ANDA217982	ORIG	AP	2025-06-02	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA217982
Unknown	Unknown	ANDA071077	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA071077
PRUCALOPRIDE	PRUCALOPRIDE	ANDA218977	ORIG	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA218977
PLERIXAFOR	PLERIXAFOR	ANDA217560	ORIG	AP	2025-06-16	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA217560
Unknown	Unknown	ANDA071078	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA071078
Unknown	Unknown	ANDA078432	SUPPL	AP	2025-06-02	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA078432
Unknown	Unknown	ANDA078432	SUPPL	AP	2025-06-02	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA078432
Unknown	Unknown	ANDA078432	SUPPL	AP	2025-06-02	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA078432
Unknown	Unknown	ANDA078432	SUPPL	AP	2025-06-02	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA078432
AMYVID	FLORBETAPIR F 18	NDA202008	SUPPL	AP	2025-06-23	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA202008
GLYCOPYRROLATE	GLYCOPYRROLATE	ANDA216297	SUPPL	AP	2025-06-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA216297
Unknown	Unknown	ANDA040050	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA040050
EXXUA	GEPIRONE	NDA021164	SUPPL	AP	2025-06-07	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA021164
STEQEYMA	USTEKINUMAB-STBA	BLA761338	SUPPL	AP	2025-06-13	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=BLA761338
TRAZODONE HYDROCHLORIDE	TRAZODONE HYDROCHLORIDE	ANDA218988	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA218988
MINOXIDIL TOPICAL SOLUTION, 5%	MINOXIDIL SOLUTION	ANDA217998	ORIG	AP	2025-06-30	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA217998
PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE	PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE	ANDA071443	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA071443
Unknown	Unknown	NDA016949	SUPPL	AP	2025-06-24	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA016949
LEVOCETIRIZINE DIHYDROCHLORIDE	LEVOCETIRIZINE DIHYDROCHLORIDE	ANDA204599	SUPPL	AP	2025-06-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA204599
LEVOCETIRIZINE DIHYDROCHLORIDE	LEVOCETIRIZINE DIHYDROCHLORIDE	ANDA204599	SUPPL	AP	2025-06-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA204599
LEVOCETIRIZINE DIHYDROCHLORIDE	LEVOCETIRIZINE DIHYDROCHLORIDE	ANDA204599	SUPPL	AP	2025-06-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA204599
LEVOCETIRIZINE DIHYDROCHLORIDE	LEVOCETIRIZINE DIHYDROCHLORIDE	ANDA204599	SUPPL	AP	2025-06-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA204599
Unknown	Unknown	ANDA090362	SUPPL	AP	2025-06-12	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA090362
