药品名称	通用名	申请号	提交类型	状态	审批日期	链接
SOHONOS	PALOVAROTENE	NDA215559	SUPPL	AP	2026-09-18	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA215559
OLANZAPINE	OLANZAPINE	ANDA202862	SUPPL	AP	2026-09-16	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA202862
RISPERIDONE	RISPERIDONE	ANDA077328	SUPPL	AP	2026-09-22	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA077328
POLYETHYLENE GLYCOL 3350	POLYETHYLENE GLYCOL 3350	ANDA203928	SUPPL	AP	2026-09-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA203928
KRAZATI	ADAGRASIB	NDA216340	SUPPL	AP	2026-09-01	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA216340
Unknown	Unknown	NDA209627	SUPPL	AP	2026-09-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA209627
ETOPOPHOS	ETOPOSIDE PHOSPHATE	NDA020457	SUPPL	AP	2026-09-02	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA020457
XELJANZ	TOFACITINIB	NDA213082	SUPPL	AP	2026-09-16	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA213082
CARBIDOPA AND LEVODOPA	CARBIDOPA AND LEVODOPA	ANDA078536	SUPPL	AP	2026-09-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA078536
Unknown	Unknown	ANDA219478	ORIG	AP	2026-09-03	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA219478
GABAPENTIN	GABAPENTIN	ANDA211330	SUPPL	AP	2026-09-16	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA211330
GABAPENTIN	GABAPENTIN	ANDA211330	SUPPL	AP	2026-09-16	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA211330
