药品名称	通用名	申请号	提交类型	状态	审批日期	链接
HYDROCODONE BITARTRATE AND ACETAMINOPHEN	HYDROCODONE BITARTRATE AND ACETAMINOPHEN	ANDA202991	SUPPL	AP	2026-06-18	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA202991
BESREMI	ROPEGINTERFERON ALFA-2B	BLA761166	SUPPL	AP	2026-06-26	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=BLA761166
DEXTROSE	DEXTROSE MONOHYDRATE	NDA016673	SUPPL	AP	2026-06-11	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA016673
LINEZOLID	LINEZOLID	NDA206473	SUPPL	AP	2026-06-09	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA206473
METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	ANDA210484	SUPPL	AP	2026-06-18	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA210484
Unknown	Unknown	ANDA077184	SUPPL	AP	2026-06-18	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA077184
ACETAMINOPHEN AND IBUPROFEN BACK PAIN	ACETAMINOPHEN AND IBUPROFEN	ANDA218359	SUPPL	AP	2026-06-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA218359
ACETAMINOPHEN AND IBUPROFEN BACK PAIN	ACETAMINOPHEN AND IBUPROFEN	ANDA218359	SUPPL	AP	2026-06-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA218359
Unknown	Unknown	ANDA219395	ORIG	AP	2026-06-03	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA219395
FARXIGA	DAPAGLIFLOZIN	NDA202293	SUPPL	AP	2026-06-03	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=NDA202293
Unknown	Unknown	ANDA218821	ORIG	AP	2026-06-09	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA218821
DORZOLAMIDE HYDROCHLORIDE	DORZOLAMIDE HYDROCHLORIDE	ANDA205294	SUPPL	AP	2026-06-10	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA205294
HYDROCODONE BITARTRATE AND ACETAMINOPHEN	HYDROCODONE BITARTRATE AND ACETAMINOPHEN	ANDA206484	SUPPL	AP	2026-06-18	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA206484
Unknown	Unknown	ANDA206885	SUPPL	AP	2026-06-18	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA206885
SUCCINYLCHOLINE CHLORIDE	SUCCINYLCHOLINE CHLORIDE	ANDA217873	SUPPL	AP	2026-06-08	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA217873
TOFACITINIB	TOFACITINIB	ANDA220137	ORIG	AP	2026-06-03	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA220137
Unknown	Unknown	ANDA040860	SUPPL	AP	2026-06-18	https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=DrugDetails.process&drugSeq=ANDA040860
